index,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pm,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,dr2_radial_velocity,dr2_radial_velocity_error,e_Gmag,e_BPmag,e_RPmag,bp_rp,hdbscan
50192,342744029514480640,28.73762997778316,0.05235032,37.97263245234101,0.042700116,2.1376115505648947,0.060958933,15.560615,9.90543202702526,0.052357484,-12.000631461552604,0.05775998,7718.774410469158,4.7932873,15.968496,2587.47966145946,14.628077,16.80635,7526.713177032556,28.63828,15.056382,,,0.0006742321105224553,0.0061381092348108965,0.004131101678337032,1.749967999999999,268
50746,342749595792012032,28.33690339727337,0.022214087,37.85214421371885,0.021519154,2.2841081598761983,0.027085464,15.259384,9.747026717615585,0.026827518,-11.740709816579162,0.024931574,1782392.4704643867,580.1964,10.059858,1031478.511322978,365.22495,10.304892,1086330.5737517723,396.62485,9.65799,9.043334,4.3030457,0.0003534239780457579,0.00038443646352591155,0.000396407842839708,0.6469020000000008,268
51035,342752340274863488,28.326050350520905,0.24874826,37.9486379101778,0.24398999,2.502681143194061,0.2980415,15.517974,10.047991751951216,0.31183368,-11.82562397087766,0.28898293,416.32035532638986,1.3925803,19.138798,73.084194897728,11.1105995,20.678984,548.7654932521923,11.842861,17.89943,,,0.0036317581650735487,0.16505867172236693,0.023431179827680785,2.779554000000001,268
51080,342752615154145408,28.402143082950047,0.017472493,37.961925060106665,0.0161039,2.248564316277986,0.02114475,15.390339,10.065018243900028,0.020167759,-11.6429348869639,0.020094246,271511.7200371145,57.331852,12.102896,154208.65430538898,117.91661,12.36827,168981.05156825893,133.11397,11.678301,6.803606,1.8447261,0.00022926180642856168,0.0008302149655349824,0.0008552832122109665,0.6899690000000014,268
51081,342752619448976512,28.40121742375332,0.01802947,37.96095797502324,0.016381405,2.3326521506613984,0.021455979,15.2958975,8.730356113176363,0.021089863,-12.559672270014689,0.02040836,113328.8514839284,73.97221,13.051516,59194.05210171292,126.56731,13.407847,78635.24344860569,99.40944,12.508852,,,0.000708683671380549,0.0023214952503964347,0.0013725706613126126,0.8989950000000011,268
51126,342752997406112000,28.228089107947817,0.05253645,37.84777272311597,0.05030764,2.2329278504728287,0.06258296,15.37503,10.067754897796677,0.07163464,-11.62032024518525,0.066019475,4345.677946411604,3.4117768,16.592222,1246.5312611548109,10.495638,17.599285,4544.318399572229,16.499222,15.604223,,,0.0008524077577751963,0.009141763647450122,0.003942021905293458,1.995061999999999,268
51169,342753134845061632,28.24544835480009,0.014254392,37.882087888718615,0.014175649,2.308489407474634,0.017326767,15.112963,9.890861233943536,0.019469442,-11.42683265434098,0.018649574,263424.02267635945,58.748737,12.135729,149767.99675524194,100.440216,12.399995,163197.04119509144,66.688644,11.716115,7.3034573,1.5116111,0.00024214052346729206,0.0007281367267210236,0.00044367394596614657,0.6838800000000003,268
51177,342753267987747456,28.20112823557522,0.07019744,37.87450969855632,0.07007566,2.1300717162195006,0.08106508,15.388252,9.897021092103047,0.09766571,-11.783347511386232,0.09503265,2796.990728603676,2.5618722,17.070639,735.0446193265194,13.372305,18.172758,3073.055695706003,21.743979,16.028969,,,0.0009944678654304866,0.019752264417459343,0.007682329112612037,2.1437890000000017,268
51404,342755402587781888,28.329387111319512,0.016391518,37.98484700039904,0.013553468,2.2372913560989143,0.018819232,15.68085,10.149559895588832,0.02061694,-11.953053742236197,0.016811745,146781.86201576956,37.68875,12.770686,79953.56720223167,198.9706,13.081448,95885.0030013715,81.76894,12.293519,10.660085,3.9133773,0.0002787813141563887,0.002701938033058993,0.0009258955603456083,0.7879290000000001,268
51483,342755844968223744,28.366615476310592,0.100834444,38.01067037862258,0.07914027,2.364076467078429,0.11361052,15.9166765,10.100647814398693,0.11048218,-12.301117940362577,0.09705018,2318.768670359583,3.0251613,17.274223,494.0163155288933,17.027739,18.604189,2738.624303187855,22.661093,16.154064,,,0.0014164962596867506,0.037423121739773205,0.008984061479645504,2.450125,268
